ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrocosmicus,s__unclassified
ASV5,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV10,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrocosmicus,s__unclassified
ASV25,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV35,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV37,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV40,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV43,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV132,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV141,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV175,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV389,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV439,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV513,k__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV531,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV672,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV705,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__unclassified,g__unclassified,s__unclassified
ASV716,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Candidatus_Nitrosopumilus,s__unclassified
ASV920,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Methanofastidiosales,f__unclassified,g__unclassified,s__unclassified
ASV996,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1041,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1047,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV1090,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1099,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__unclassified
ASV1121,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV1137,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Candidatus_Nitrosopumilus,s__unclassified
ASV1277,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV1312,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1321,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__unclassified,g__unclassified,s__unclassified
ASV1392,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1482,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1529,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__unclassified,s__unclassified
ASV1651,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__unclassified,g__unclassified,s__unclassified
ASV1663,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Candidatus_Nitrosopumilus,s__unclassified
ASV1682,k__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrocosmicus,s__unclassified
ASV1692,k__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV1775,k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__unclassified,g__unclassified,s__unclassified
ASV1776,k__Archaea,p__unclassified,c__unclassified,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV1791,k__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__unclassified,g__unclassified,s__unclassified
ASV1793,k__Archaea,p__Aenigmarchaeota,c__unclassified,o__unclassified,f__unclassified,g__unclassified,s__unclassified
