sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV0,0.0515438151266967,0.0679432460491406,0.119698542700042,0.0887645633867805,0.0262429345945322,0.0140154573768601,g__Escherichia-Shigella
ASV1,0,0,0,0,0,0,g__Stenotrophomonas
ASV2,0.129022955358173,0.0638674203099166,0.00645979928480794,0.0148613834736802,0.0217825969931172,0.00511400776713962,g__unclassified
ASV3,0.00198023609028339,0.0413734763717461,0.00199946168339293,0.00130734033144923,0.000538316607067328,0.024724112738878,g__Massilia
ASV4,0.00897835198215865,0.0185719229438228,0.0242626985042489,0.0178798015918791,0.00513323336024916,0.00342215557349944,g__Halomonas
ASV5,0.0357596031837582,0.0048640750567155,0.00244165032491252,0.00494097742915369,0.000634444572615065,0,g__unclassified
ASV6,0.00290306455954166,0.00359518591148537,0.00574845233975468,0.0089975775752682,0.000403737455300496,0.00736340216095667,g__Sphingomonas
ASV8,0.000865151689929634,0.00101895643480601,0.00490252624293459,0.00301841811819895,0.00232629676625524,0.00769023724381897,g__Sphingomonas
ASV9,0.00297996693197985,0.00082670050371054,0.00267235744222709,0.00201868727650248,0.00353750913215673,0.00970892452032145,g__unclassified
ASV10,0.0022301688007075,0.00176875456607836,0.00388356980812858,0.0048640750567155,0.0025954550697889,0.00238397354558388,g__Blastococcus
ASV11,0.00494097742915369,0.000403737455300496,0.00509478217403007,0.0029991925250894,0.00290306455954166,0.0119967701003576,g__unclassified
ASV12,0.00126888914523013,0.0138424270388741,0.0111700695966471,0.00582535471219287,0.00221094320759795,0.00148037066943515,g__Sphingomonas
ASV13,0,0.0240704425731534,0.00203791286961203,0.00257622947667936,0.000403737455300496,0.00807474910600992,g__Massilia
ASV14,0.00592148267774061,0,0.000845926096820087,0.00142269389010651,0,0,g__unclassified
ASV15,0,0,0,0,0.0850347983235283,0.0078632675818049,g__Gemmatimonas
ASV16,0.000922828469258277,0.00326835082862306,0.00405660014611451,0.00436420963586727,0.0192832698888761,0.0155727304187334,g__Sphingomonas
ASV17,0.00205713846272158,0.000153804744876379,0.000115353558657285,0,0,0,g__Vulcaniibacterium
ASV18,0.0385857653708617,0.00442188641519591,0.00828623063021494,0.00286461337332257,0.000942054062367824,0.000307609489752759,g__Nocardioides
ASV19,0.000499865420848233,0.00742107894028531,0.00121121236590149,0.00322989964240397,0.0078248163955858,0.00686353674010843,g__unclassified
ASV20,0,0.000442188641519591,0.000480639827738686,0.000769023724381897,0.0041335025185527,0.0110354904448802,g__Sphingomonas
ASV21,0.00176875456607836,0.0037682162494713,0.00148037066943515,0.00255700388356981,0.0151689929634329,0.0114969046795094,g__unclassified
ASV22,0.00649825047102703,0.00203791286961203,0.0048640750567155,0.00174952897296882,0.00267235744222709,0.00234552235936479,g__unclassified
ASV23,0.000192255931095474,0.00167262660053063,0.00130734033144923,0.000961279655477371,0.00151882185565425,0.00455646556696274,g__Sphingomonas
ASV24,0.000365286269081401,0.0580420655977237,0.000211481524205022,0.00169185219364017,0.000422963048410043,0.00115353558657285,g__unclassified
ASV25,0.00121121236590149,0.00101895643480601,0.00182643134540701,0.00224939439381705,0.00194178490406429,0.0101126619756219,g__Ellin6067
ASV26,3.84511862190949e-05,0.000326835082862306,0.000269158303533664,9.61279655477372e-05,0.000884377283039182,0.00396047218056677,g__Longimicrobium
ASV27,0.00246087591802207,0.0106125273964702,0.00101895643480601,0.0037682162494713,0.00155727304187334,0.00074979813127235,g__unclassified
ASV28,0,0.000173030337985927,0.000115353558657285,0,0,0,g__Delftia
ASV29,0,0.000249932710424117,0.000192255931095474,0,7.69023724381897e-05,0.0194755258199715,g__Microcoleus_PCC-7113
ASV30,0.00101895643480601,0,0.00349905794593763,0.00211481524205022,0.000134579151766832,0,g__Subgroup_10
ASV31,0.00303764371130849,0.00142269389010651,0.00811320029222901,0.00447956319452455,0.00103818202791556,0.00167262660053063,g__unclassified
ASV32,0.00524858691890645,0.00178798015918791,0.00549851962933056,0.00321067404929442,0,0,g__Sphingomonas
ASV33,0.00144191948321606,0.000192255931095474,0.00123043795901104,0.00142269389010651,9.61279655477372e-05,7.69023724381897e-05,g__Rubrobacter
ASV34,0.000173030337985927,0.00178798015918791,0.00142269389010651,0.00211481524205022,0.000634444572615065,0.00303764371130849,g__Sphingomonas
ASV35,0.00378744184258084,0.0113238743415234,0.00221094320759795,0.00238397354558388,0.00367208828392356,0.000845926096820087,g__unclassified
ASV36,0.00480639827738686,0.000403737455300496,0.000865151689929634,0.00134579151766832,0,0.000711346945053255,g__Subgroup_10
ASV37,0.00694043911254662,0.00242242473180298,0.00367208828392356,0.00492175183604414,0.00196101049717384,0.000807474910600992,g__unclassified
ASV38,0.000153804744876379,3.84511862190949e-05,7.69023724381897e-05,9.61279655477372e-05,1.92255931095474e-05,0.00738262775406621,g__Tychonema_CCAP_1459-11B
ASV39,0.000134579151766832,0,0.000442188641519591,0.00105740762102511,0.00346060675971854,0.0139385550044219,g__Adhaeribacter
ASV40,0.00130734033144923,0.00249932710424117,0.00155727304187334,0.00615218979505518,0.00551774522244011,0.00121121236590149,g__unclassified
ASV41,0.00142269389010651,0.000557542200176875,0.00228784558003614,0.00161494982120198,0,7.69023724381897e-05,g__Rubrobacter
ASV42,3.84511862190949e-05,0,0,1.92255931095474e-05,0,0.00774791402314761,g__unclassified
ASV44,0.00374899065636175,0.000230707117314569,0.00119198677279194,0.00269158303533664,0.00163417541431153,0.00757488368516169,g__unclassified
ASV45,0.00159572422809244,0.00634444572615065,0.000730572538162802,0.00442188641519591,0.0106894297689084,0,g__unclassified
ASV46,0,0,0,3.84511862190949e-05,0,0,g__Lysobacter
ASV47,0,0,0,0,0.0260314530703272,0.0106317529895797,g__Gemmatimonas
ASV48,0.00324912523551352,0.000634444572615065,0.00297996693197985,0.00369131387703311,0.000249932710424117,0.000134579151766832,g__unclassified
ASV49,0.000211481524205022,0.000269158303533664,0.000288383896643211,0.000845926096820087,0.00138424270388741,0.0129195985696159,g__Gemmatimonas
ASV50,0,0,0,0,0,0,g__unclassified
ASV51,0.000845926096820087,0.00159572422809244,0.00567154996731649,0.00192255931095474,0.00124966355212058,0.00369131387703311,g__Sphingomonas
ASV52,0,0.000384511862190949,0.00121121236590149,0.00130734033144923,0.00430653285653862,0.00959357096166417,g__unclassified
ASV53,0.000269158303533664,0.00123043795901104,0.000480639827738686,0.00130734033144923,0.00330680201484216,0.00828623063021494,g__Gemmatimonas
ASV54,0.000326835082862306,0.000422963048410043,0.000769023724381897,0.000538316607067328,0.000346060675971854,0.00134579151766832,g__unidentified_Gemmatimonadaceae
ASV55,7.69023724381897e-05,0.000173030337985927,0.000615218979505518,0.000865151689929634,5.76767793286423e-05,0.00284538778021302,g__Gemmatimonas
ASV56,0.000384511862190949,0.00319144845618487,0.0025954550697889,0.00244165032491252,0.00355673472526627,0.00397969777367632,g__Nocardioides
ASV57,0.00196101049717384,0.000422963048410043,0.00217249202137886,0.00148037066943515,0,0,g__unclassified
ASV58,0.000346060675971854,0.000903602876148729,0.000807474910600992,0.00159572422809244,0.000942054062367824,0.00134579151766832,g__unclassified
ASV59,0.000845926096820087,0.00074979813127235,0.00124966355212058,0.00117276117968239,0.000961279655477371,0.00469104471872957,g__unclassified
ASV60,0.000884377283039182,0.000980505248586919,0.00115353558657285,0.00211481524205022,0.00367208828392356,0.00434498404275772,g__unidentified_Gemmatimonadaceae
ASV61,0.00196101049717384,0.00205713846272158,0.00103818202791556,0.0010958588072442,0.0010958588072442,0.00176875456607836,g__unclassified
ASV62,0.000576767793286423,0.0052293613257969,0.000711346945053255,0.00499865420848233,0.00503710539470143,0.000903602876148729,g__unclassified
ASV63,0.00119198677279194,0.00261468066289845,0.004460337601415,0.002633906256008,0.000692121351943707,0,g__unclassified
ASV64,0.00261468066289845,0.000403737455300496,0.00169185219364017,0.00134579151766832,0,0.000230707117314569,g__unclassified
ASV65,0.000999730841696466,0.000134579151766832,0.0011343099934633,0.0019033337178452,0.000249932710424117,0.00574845233975468,g__Gemmatimonas
ASV66,0.00542161725689238,0.00424885607720998,0.00649825047102703,0.00317222286307533,0.00569077556042604,0.00184565693851655,g__Lysobacter
ASV67,0.000961279655477371,0.00101895643480601,0.0052293613257969,0.00188410812473565,0.00407582573922406,0.000865151689929634,g__Sphingomonas
ASV68,0.0011343099934633,0.000326835082862306,0.000807474910600992,0.00123043795901104,0,0,g__unclassified
ASV69,0,0.000115353558657285,0.000192255931095474,0,0.000192255931095474,0.00551774522244011,g__unclassified
ASV70,0.000576767793286423,0.000346060675971854,0.000403737455300496,0.000711346945053255,0.000307609489752759,0.00059599338639597,g__unclassified
ASV71,0.000903602876148729,0.000903602876148729,0.00157649863498289,0.00103818202791556,0.000422963048410043,0.000442188641519591,g__Achromobacter
ASV72,0.00074979813127235,0.00394124658745722,0,0,0.000807474910600992,0.00167262660053063,g__unclassified
ASV73,0.00082670050371054,0.000153804744876379,0.000576767793286423,0.00201868727650248,0.0116507094243857,0.00811320029222901,g__unclassified
ASV74,0.00074979813127235,5.76767793286423e-05,0.000346060675971854,0.000807474910600992,0.00238397354558388,0.00794016995424309,g__unclassified
ASV75,0.0329334409966547,0,0,0,0.000249932710424117,0,g__unidentified_Chloroplast
ASV76,0.0037297650632522,0.000442188641519591,0.000788249317491445,0.0011343099934633,0.00115353558657285,0.00271080862844619,g__unclassified
ASV77,0.000499865420848233,0.000576767793286423,0.00144191948321606,0.000173030337985927,0.00199946168339293,0.007094243857423,g__Gemmatimonas
ASV78,0.00290306455954166,0.000865151689929634,0.00613296420194563,0.00242242473180298,0,0.000249932710424117,g__Gaiella
ASV79,0.00244165032491252,0.00180720575229746,0.00397969777367632,0.00251855269735071,0,0,g__unclassified
ASV80,0.000326835082862306,0.000788249317491445,0.00171107778674972,0.00138424270388741,0.000134579151766832,0.000173030337985927,g__MND1
ASV81,0.00203791286961203,0.00478717268427731,0.00311454608374668,0.00451801438074365,0.00082670050371054,0.000249932710424117,g__unclassified
ASV82,0,0,0.000326835082862306,0.000134579151766832,0,0.0029607413388703,g__Lysobacter
ASV83,0.000980505248586919,0,0.00121121236590149,0.00155727304187334,0,0,g__unclassified
ASV84,0.00176875456607836,0,0.000653670165724613,0.000480639827738686,0,0,g__unclassified
