sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV0,0.504477843198017,0.51210102262163,0.0216764797025101,0.208800743724822,0.0292996591261233,0.0191199256275178,g__unclassified
ASV3,7.74713356058258e-05,4.64828013634955e-05,0.000247908273938643,0.000170436938332817,0.000247908273938643,9.2965602726991e-05,g__unidentified_Mammalia
ASV6,0.00365664704059498,0.00170436938332817,0.0190269600247908,0.00691044313603967,0.00794855903315773,0.00227765726681128,g__unclassified
ASV7,0.00134800123954137,0.00125503563681438,0.00255655407499225,0.00216919739696312,0.00136349550666253,0.0010226216299969,g__unclassified
ASV8,0.00405949798574527,0.00165788658196467,0.0031143476913542,0.00184381778741866,0.0108924697861791,0.0052060737527115,g__unclassified
ASV10,0.0123644251626898,0.00110009296560273,0.00579485590331577,0.00732878834831112,0.00119305856832972,0.00182832352029749,g__unclassified
ASV13,0.00503563681437868,0.0024480942051441,0.00841338704679269,0.00486519987604586,0.0130771614502634,0.00824295010845987,g__Allovahlkampfia
ASV14,0.00354818717074682,0.00103811589711807,0.00399752091726061,0.00519057948559033,0.00464828013634955,0.0419119925627518,g__unclassified
ASV15,0.00604276417725442,0.00263402541059808,0.00241710567090177,0.00771614502634025,0.0127982646420824,0.0058723272389216,g__Acanthamoeba
ASV16,0.00376510691044314,0.00215370312984196,0.00348621010226216,0.0038270839789278,0.158676789587853,0.00294391075302138,g__unclassified
ASV19,0.00542299349240781,0.0020917260613573,0.0377285404400372,0.0182522466687326,0.00224666873256895,0.00237062286953827,g__Vermamoeba
ASV20,0.00283545088317323,0.00237062286953827,0.0241710567090177,0.013418035326929,0.00722032847846297,0.00436938332816858,g__Vermamoeba
ASV21,0.00210722032847846,0.00224666873256895,0.00432290052680508,0.00419894638983576,0.0266346451812829,0.00512860241710567,g__Vermamoeba
ASV25,0.000650759219088937,0.0835140997830803,0.00201425472575147,0.0175550046482801,0.000712736287573598,0.000852184691664084,g__unidentified_Tylenchida
ASV26,0.00199876045863031,0.0010226216299969,0.00887821506042764,0.0020917260613573,0.00647660365664704,0.00729779981406879,g__Acanthamoeba
ASV28,0.00179733498605516,0.00150294391075302,0.00268050821196157,0.00156492097923768,0.00221568019832662,0.0707468236752402,g__unclassified
ASV30,0.000108459869848156,0.000201425472575147,0.000263402541059808,0.000836690424542919,0.00089866749302758,0.000604276417725442,g__unclassified
ASV31,0.00959095134800124,0.00627517818407189,0.0195537651069104,0.0200960644561512,0.00875426092345832,0.0055624418964983,g__unclassified
ASV32,0.000604276417725442,0.000263402541059808,0.000666253486210102,0.0010691044313604,0.00269600247908274,0.00889370932754881,g__Rhogostoma
ASV35,0.000619770684846607,0.000914161760148745,0.00122404710257205,0.000914161760148745,0.00196777192438798,0.00119305856832972,g__Trinema
ASV37,0.00258754260923458,0.00145646110938953,0.00390455531453362,0.00184381778741866,0.00337775023241401,0.00181282925317632,g__unclassified
ASV39,0.00283545088317323,0.00227765726681128,0.00308335915711187,0.0687170746823675,0.00213820886272079,0.00144096684226836,g__unclassified
ASV42,0.0010691044313604,0.000914161760148745,0.00127052990393554,0.00128602417105671,0.00221568019832662,0.00312984195847536,g__Cercomonas
ASV43,0.0180973039975209,0.0208397892779672,0.00111558723272389,0.00852184691664084,0.00116207003408739,0,g__unclassified
ASV44,0.0013789897737837,0.000743724821815928,0.00151843817787419,0.00122404710257205,0.00089866749302758,0.020638363805392,g__Bromeliothrix
ASV51,0.000821196157421754,0.000588782150604276,0.00140997830802603,0.000821196157421754,0.000945150294391075,0.00041834521227146,g__unclassified
ASV55,0.00164239231484351,0.00153393244499535,0.00158041524635885,0.00139448404090487,0.00904865199876046,0.00455531453362256,g__unclassified
ASV57,0.00127052990393554,0.00175085218469166,0.00955996281375891,0.000805701890300589,0.00453982026650139,0.00317632475983886,g__unclassified
ASV58,0.00323830182832352,0.00119305856832972,0.00708088007437248,0.00334676169817168,0.00430740625968392,0.00120855283545088,g__Sorodiplophrys
ASV59,0.000604276417725442,0.000247908273938643,0.00187480632166099,0.000495816547877285,0.000464828013634955,0.000340873876665634,g__unclassified
ASV64,0.00213820886272079,0.0010226216299969,0.0172296250387357,0.00715835140997831,0.00326929036256585,0.0013325069724202,g__unclassified
ASV66,0.000836690424542919,0.00136349550666253,0.00388906104741246,0.00288193368453672,0.011636194607995,0.00539200495816548,g__Flamella
ASV68,0.00218469166408429,0.00092965602726991,0.00220018593120545,0.00224666873256895,0.0014254725751472,0.00170436938332817,g__unidentified_Chlorophyceae
ASV71,0.00092965602726991,0.000712736287573598,0.0210102262163,0.0153548187170747,0.000852184691664084,0.000728230554694763,g__unidentified_Haplotaxida
ASV73,0.00128602417105671,0.000666253486210102,0.00111558723272389,0.00114657576696622,0.00116207003408739,0.00096064456151224,g__unidentified_Collembola
ASV74,0.00249457700650759,0.00213820886272079,0.00122404710257205,0.00144096684226836,0.00089866749302758,0.0055624418964983,g__unclassified
ASV75,0.00122404710257205,0.0010691044313604,0.00433839479392625,0.00247908273938643,0.00387356678029129,0.00130151843817787,g__Ischnamoeba
ASV76,0.00150294391075302,0.000743724821815928,0.00156492097923768,0.00258754260923458,0.00128602417105671,0.0345986984815618,g__unidentified_Chlorophyceae
ASV84,0.000728230554694763,0.00148744964363186,0.00207623179423613,0.00119305856832972,0.00511310814998451,0.00170436938332817,g__unidentified_Gracilipodida
ASV87,0.00150294391075302,0.00041834521227146,0.000340873876665634,0.000309885342423303,0.000201425472575147,0.00108459869848156,g__Vahlkampfia
ASV88,0.000852184691664084,0.000309885342423303,0.00170436938332817,0.00289742795165789,0.00441586612953207,0.00202974899287264,g__Mycamoeba
ASV89,0.000743724821815928,0.000573287883483111,0.000650759219088937,0.00096064456151224,0.00161140378060118,0.000945150294391075,Unassigned_Genus
ASV90,0.000666253486210102,0.000356368143786799,0.00089866749302758,0.000650759219088937,0.000774713356058258,0.000495816547877285,g__Allovahlkampfia
ASV94,0.000433839479392625,0.000356368143786799,0.00187480632166099,0.000402850945150294,0.00246358847226526,0.00182832352029749,g__Adriamonas
ASV95,0.000247908273938643,0,0.000867678958785249,0.00291292221877905,0.000170436938332817,0.000278896808180973,g__Euglypha
ASV96,0.000743724821815928,0.000511310814998451,0.000821196157421754,0.00184381778741866,0.000976138828633406,0.00127052990393554,g__unclassified
ASV98,0,0,0,0,0,0,g__unclassified
ASV99,0.000309885342423303,0.00041834521227146,0.000356368143786799,0.000557793616361946,0.000309885342423303,0.0109544468546638,g__unidentified_Tylenchida
ASV100,7.74713356058258e-05,0,0,7.74713356058258e-05,0.000170436938332817,0,g__unidentified_Aves
ASV102,0.000836690424542919,0.000712736287573598,0.0250852184691664,0.00100712736287574,0.00206073752711497,0.00103811589711807,g__unclassified
ASV103,0,0,0,0,0.000867678958785249,0.00441586612953207,g__Rhogostoma
ASV105,0.00092965602726991,0.000542299349240781,0.00880074372482182,0.00144096684226836,0.00251007127362876,0.000635264951967772,g__unclassified
ASV109,0.000991633095754571,0.000263402541059808,0.000697242020452433,0.000495816547877285,0.00224666873256895,0.00151843817787419,g__unclassified
ASV110,0.000557793616361946,0.000402850945150294,0.00092965602726991,0.00044933374651379,0.00048032228075612,0.0014254725751472,g__unclassified
ASV111,0.000697242020452433,0.000294391075302138,0.0010691044313604,0.00357917570498915,0.00130151843817787,0.000557793616361946,g__unclassified
ASV112,0.000387356678029129,0.000340873876665634,0.000402850945150294,0.00044933374651379,0.00227765726681128,0.00227765726681128,g__Cercomonas
ASV113,0,0,0.000278896808180973,0,0,0,g__unidentified_Enoplea
ASV115,0,0,0,0,0,0,g__unclassified
ASV116,0.000402850945150294,0.000263402541059808,0.000759219088937093,0.000371862410907964,0.000402850945150294,0.000371862410907964,g__unclassified
ASV117,0.00184381778741866,0.000263402541059808,0.00100712736287574,0.00117756430120855,0.00158041524635885,0,g__unclassified
ASV118,0,0.00148744964363186,0.000681747753331267,0.000402850945150294,0.000573287883483111,0.00447784319801673,g__Rhogostoma
ASV121,0.000356368143786799,0.000139448404090487,0.00237062286953827,0.00481871707468237,0.000790207623179424,0.000309885342423303,Unassigned_Genus
ASV123,0,0,0,0,0,0,g__unclassified
ASV124,0,0,0,0,0,0,g__unclassified
ASV125,0,0,0,0,0,0,g__unclassified
ASV126,0.00110009296560273,0.000402850945150294,0.000557793616361946,0.000495816547877285,0.000340873876665634,0.00105361016423923,g__unclassified
ASV128,0.000464828013634955,0.000263402541059808,0.000201425472575147,0.000790207623179424,0.00361016423923148,7.74713356058258e-05,g__unclassified
ASV131,0.000278896808180973,0.00044933374651379,0.000945150294391075,0.000712736287573598,0.000170436938332817,0.000247908273938643,g__unclassified
ASV132,0,0,0.000619770684846607,0.000573287883483111,0,0,g__Acanthamoeba
ASV134,0,0,0,0,0,0,g__unidentified_Enoplea
ASV136,0.000232414006817478,0.00158041524635885,0.000340873876665634,0.000883173225906415,0.000387356678029129,0.00196777192438798,g__unidentified_Arachnida
ASV137,0,0,7.74713356058258e-05,0,0,0,Unassigned_Genus
ASV138,0.000557793616361946,0,0.00185931205453982,0.00089866749302758,0.00333126743105051,0.00252556554074992,g__unclassified
ASV139,0,0,0,0,0,0,g__Arachnula
ASV140,0,0,0,0,0,0,g__unidentified_Arachnida
ASV141,0,0,0,0,0,0,g__Euplotes
ASV143,0.000573287883483111,0.000294391075302138,0.00195227765726681,0.00122404710257205,0.00111558723272389,0.00198326619150914,g__unclassified
ASV144,0,0.000991633095754571,0.000464828013634955,0,0,0.000201425472575147,g__unclassified
ASV145,0.00201425472575147,0.000573287883483111,0.000712736287573598,0.000945150294391075,0.0020452432599938,0.00210722032847846,g__unclassified
ASV146,0,0,0,0,0,0,g__unidentified_Mammalia
ASV150,0.000681747753331267,0.000495816547877285,0.000697242020452433,0.000759219088937093,0.000619770684846607,0.00041834521227146,g__Globobulimina
ASV151,0.000356368143786799,0.000433839479392625,0.00159590951348001,0.00926557173845677,0.00089866749302758,0.000123954136969321,g__unclassified
ASV152,0,0.00044933374651379,0,0,0.000278896808180973,0.000387356678029129,g__Cercomonas
ASV153,0.000697242020452433,0,0.00151843817787419,0.000542299349240781,0.000325379609544469,0.00044933374651379,g__Phalansterium
ASV155,0.000743724821815928,0.000619770684846607,0.000836690424542919,0.000743724821815928,0.00914161760148745,0.0058723272389216,g__Rhogostoma
