sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV0,0.172287742655405,0.0326105777555457,0.350558901052389,0.0878850260692229,0.196625430478866,0.0667218192662139,g__Chaetasbolisia
ASV1,0.000731092598649403,0.0051753660272813,0,0.19014179348558,0.100890778613618,0.082555745810647,g__Fusarium
ASV2,0.099178482790465,0.0188737326125017,0.0982165188448737,0.012524770571599,0.151874867729957,0.367835773515209,g__Cumuliphoma
ASV3,0,0,0,0,0,0,g__Rhizophlyctis
ASV4,0.00336687380956962,0.00454046982319103,0.0296669680820363,0.0180079650614695,0.13915770436924,0.0573330511572426,g__Fusarium
ASV5,0.0543124843680859,0.0102930142178271,0.0163533870750524,0.0219904957962176,0.0362660407487927,0.00717625103411124,g__Bisifusarium
ASV6,0,0,0.0619889566539046,0.00128903168709237,0,0.0044442734286319,g__unclassified
ASV7,0,0.46476326067299,0.00363622371433519,0.202224060642207,0,0,g__unclassified
ASV8,0,0,0,0,0,0,g__Rhizophlyctidaceae_gen_Incertae_sedis
ASV9,0,0.0035015487619524,0,0.0116974815783904,0.0119283529253324,0.00609885141504896,g__Fusarium
ASV10,0.360755718875657,0,0,0.0533505204224946,0,0,g__unclassified
ASV11,0,0,0,0.0247032341227851,0,0.00151990303403428,g__Mortierella
ASV12,0,0,0,0,0,0,g__Subulicystidium
ASV13,0,0,0,0,0,0,g__Spizellomycetaceae_gen_Incertae_sedis
ASV14,0.00609885141504896,0.00811897570079073,0.0134482559593666,0.00644515843546184,0.084883698558978,0.00442503414972007,g__Stagonosporopsis
ASV15,0,0,0,0,0.0010196817823268,0,g__unclassified
ASV16,0,0,0,0,0,0,g__Botryotrichum
ASV17,0.000654135483002097,0,0.00671450834022741,0.00228947419050734,0,0.000384785578236528,g__unclassified
ASV18,0,0,0,0,0,0.00042326413606018,g__Powellomyces
ASV19,0,0.00400177001365989,0.00650287627219732,0.00344383092521692,0,0,g__Mortierella
ASV20,0.00327067741501049,0.000461742693883833,0.0147950054831945,0.000538699809531139,0.00671450834022741,0.0648171306539431,g__Plectosphaerella
ASV21,0,0,0,0,0,0,g__unclassified
ASV22,0,0,0,0,0,0,g__Trichoderma
ASV23,0.00225099563268369,0.000808049714296708,0.0228177847894261,0.00455970910210285,0.000788810435384882,0.00361698443542336,g__Trichomeriaceae_gen_Incertae_sedis
ASV24,0,0,0,0,0,0,g__Cumuliphoma
